"user_id","ab_group","start_ts","end_ts","pdate"
"2OgK/ukRgvkWAOaa8XaTPg==",A,"2023-05-02 12:24:33.553327","2023-05-02 12:37:57.761142","2023-05-02"
"3E69ZO0RJrEWACi28XaTPg==",A,"2023-05-01 18:58:45.338597","2023-05-01 19:04:19.203838","2023-05-01"
"3E69ZO0RJrEWACi28XaTPg==",A,"2023-05-04 10:01:39.700496","2023-05-04 10:07:39.858666","2023-05-04"
"3GsYmewRRswWABqG8XaTPg==",B,"2023-05-03 05:00:41.797222","2023-05-03 05:18:12.137282","2023-05-03"
"4BNABuYRf+8WAKmUYvZgPg==",A,"2023-05-03 07:31:46.831712","2023-05-03 07:39:39.146694","2023-05-03"
"9HKAHegRBmoWAAqW6VfbPg==",A,"2023-05-01 07:19:36.837991","2023-05-01 07:35:11.687785","2023-05-01"
CNlROesRiq0WAKmf8XaTPg==,A,"2023-05-01 13:33:03.091067","2023-05-01 13:50:05.085239","2023-05-01"
CkIBDFQ8sF2Iz2v5A1dcAg==,A,"2023-05-01 12:34:18.732048","2023-05-01 12:39:56.669793","2023-05-01"
CkIBDFQCusBsUkoQA0/DAg==,B,"2023-05-01 04:23:26.682765","2023-05-01 04:51:59.406590","2023-05-01"
CkIGrFp2re2Au0zeQYwCAg==,B,"2023-05-02 10:32:16.649703","2023-05-02 10:39:26.064199","2023-05-02"
CkIKM1be4YMPWXjKBamAAg==,B,"2023-05-01 05:53:51.224651","2023-05-01 06:02:46.846303","2023-05-01"
CkIKM1cY6SmGv0ejAy8IAg==,B,"2023-05-01 13:12:02.701327","2023-05-01 13:28:08.227839","2023-05-01"
CkIKM1pnk3SkjyQ8HA0VAg==,B,"2023-05-01 19:22:46.146862","2023-05-01 19:35:40.407505","2023-05-01"
CkIKM1qSuvmIBfYzCFAWAg==,B,"2023-05-03 10:23:16.197177","2023-05-03 10:33:00.394481","2023-05-03"
CkZ42V1n/7iPSH2kBWNdAg==,A,"2023-05-02 14:54:36.527473","2023-05-02 15:16:38.799918","2023-05-02"
CkZ42V3CsKW4V1coA4iMAg==,B,"2023-05-02 13:56:19.382922","2023-05-02 14:18:15.223954","2023-05-02"
